School Name,Address,Number,Type,MOEY Code,Email
Middlesex Infant,"Middlesex District, Middlesex P.A, St. Elizabeth",+1-876-428-1156,Infant,11113,middlesex.infant.man@moey.gov.jm
Accompong Primary,"Accompong, Bethsalem P.A., St. Elizabeth",+1-876-648-2172,Primary,11002,accompong.primary.seh@moey.gov.jm
Austin Primary,"Myersville P.O., St. Elizabeth",+1-876-871-8841,Primary,11004,austin.primary.seh@moey.gov.jm
Balaclava Primary,"Balaclava P.O., St. Elizabeth",+1-876-963-2585,Primary,11005,balaclava.primary.seh@moey.gov.jm
Ballards Valley Primary,"Ballards Valley District, Junction P.O., St. Elizabeth",+1-876-965-8479,Primary,11006,ballardsvalley.primary.seh@moey.gov.jm
Barbary Hall Primary,"Barbary Hall P.A., St. Elizabeth",+1-876-322-4972,Primary,11007,barbaryhall.primary.seh@moey.gov.jm
Beersheba Primary,"Beersheba, New Market P.O., St. Elizabeth",+1-876-364-3300,Primary,11008,beersheba.primary.seh@moey.gov.jm
Bigwoods Primary,"Bigwoods District, Mountainside P.O., St. Elizabeth",+1-876-851-4080,Primary,11010,bigwoods.primary.seh@moey.gov.jm
Black River Primary and Infant,"19 Central Road, Black River, St. Elizabeth",+1-876-965-2581,Primary,11011,blackriver.primary.seh@moey.gov.jm
Bogue Primary,"Bogue District, Bogue P.A., St. Elizabeth",+1-876-648-1301,Primary,11012,bogue.allage.seh@moey.gov.jm
Brae's River Primary,"Brae's River District, Brae's River P.O., St. Elizabeth",+1-876-539-2787,Primary,11013,braesriver.primary.seh@moey.gov.jm
Brinkley Primary,"Brinkley, Nain P.O., St. Elizabeth",+1-876-530-3937,Primary,11014,brinkley.primary.seh@moey.gov.jm
Brompton Primary,"Brompton, Fyffes Pen P.O., St. Elizabeth",+1-876-827-4512,Primary,11015,brompton.primary.seh@moey.gov.jm
Bull Savannah Primary and Infant,"Bull Savannah District, Bull Savannah P.A., St. Elizabeth",+1-876-965-8786,Primary,11016,bullsavannah.primary.seh@moey.gov.jm
Burnt Savannah Primary,"Burnt Savannah District, Burnt Savannah P.A., St. Elizabeth",+1-876-781-6567,Primary,11017,burntsavanna.primary.seh@moey.gov.jm
Carisbrook Primary,"Carisbrook District, Carisbrook P.A., St. Elizabeth",,Primary,11018,carisbrook.primary.seh@moey.gov.jm
Clapham Primary,"Brighton P.O., St. Elizabeth",+1-876-530-1970,Primary,11019,clapham.primary.seh@moey.gov.jm
Crawford Primary,"Crawford District, Black River P.O., St. Elizabeth",+1-876-818-4284,Primary,11020,crawford.primary.seh@moey.gov.jm
Epping Forest Primary,"Potsdam District, Munro College P.O., St. Elizabeth",+1-876-771-6227,Primary,11022,eppingforest.primary.seh@moey.gov.jm
Fullerswood Primary,"Arlington P.A., St. Elizabeth",+1-876-433-6880,Primary,11003,fullerswood.allage.seh@moey.gov.jm
Fyffes Pen Primary,"Fyffes Pen District, Fyffes Pen P.O., St. Elizabeth",+1-876-857-6996,Primary,11025,fyffespen.primary.seh@moey.gov.jm
Geneva Primary,"Newell, Watchwell PA, St. Elizabeth",+1-876-965-0829,Primary,11026,geneva.primary.seh@moey.gov.jm
Glen Stuart Primary,"Maggotty P.O. Box 10, St. Elizabeth",,Primary,11029,glenstuart.primary.seh@moey.gov.jm
Happy Grove Primary,"Happy Grove, New Market P.O., St. Elizabeth",+1-876-403-2564,Primary,11030,happygrove.primary.seh@moey.gov.jm
Holland Primary,"Holland, Lacovia P.O., St. Elizabeth",+1-876-430-6690,Primary,11031,holland.primary.seh@moey.gov.jm
